X5_end_partner	X3_end_partner	Subtype
BCR	ABL1	Ph-pos
TCF3	PBX1	TCF3::PBX1
ETV6	RUNX1	ETV6::RUNX1
TCF3	HLF	HLF
EP300	ZNF384	ZNF384
TCF3	ZNF384	ZNF384
TAF15	ZNF384	ZNF384
EWSR1	ZNF384	ZNF384
PAX5	ETV6	PAX5alt
MEF2D	HNRNPUL1	MEF2D
MEF2D	PYGO2	MEF2D
MEF2D	BCL9	MEF2D
IGH@	MYC	BCL2/MYC
IGH@	BCL6	BCL2/MYC
IGH@	BCL2	BCL2/MYC
KMT2A	AFF1	KMT2A
AFF1	KMT2A	KMT2A
KMT2A	MLLT1	KMT2A
KMT2A	MLLT3	KMT2A
EBF1	PDGFRB	Ph-like
TPR	JAK2	Ph-like
OFD1	JAK2	Ph-like
PAX5	JAK2	Ph-like
BCR	JAK2	Ph-like
PCM1	JAK2	Ph-like
RFX3	JAK2	Ph-like
NUP214	ABL1	Ph-like
RCSD1	ABL1	Ph-like
FOXP1	ABL1	Ph-like
ETV6	ABL1	Ph-like
MEF2D	CSF1R	Ph-like
SSBP2	CSF1R	Ph-like
IGH@	EPOR	Ph-like
ETV6	NTRK3	Ph-like
IGH@	CRLF2	Ph-like
CRLF2	IGH@	Ph-like
P2RY8	CRLF2	Ph-like
CEBPA	IGH@	Ph-like
CEBPE	IGH@	Ph-like
IGH@	CEBPE	CEBP
CEBPD	IGH@	CEBP
IGH@	DUX4	DUX4
DUX4	IGH	DUX4
CENPC	ABL1	Ph-like
LSM14A	ABL1	Ph-like
NUP153	ABL1	Ph-like
RANBP2	ABL1	Ph-like
SFPQ	ABL1	Ph-like
SNX1	ABL1	Ph-like
SNX2	ABL1	Ph-like
ZMIZ1	ABL1	Ph-like
PAG1	ABL2	Ph-like
RCSD1	ABL2	Ph-like
ZC3HAV1	ABL2	Ph-like
TBL1XR1	CSF1R	Ph-like
FIP1L1	PDGFRA	Ph-like
ATF7IP	PDGFRB	Ph-like
ETV6	PDGFRB	Ph-like
SNX29	PDGFRB	Ph-like
SSBP2	PDGFRB	Ph-like
TNIP1	PDGFRB	Ph-like
ZEB2	PDGFRB	Ph-like
ZMYND8	PDGFRB	Ph-like
ATF7IP	JAK2	Ph-like
EBF1	JAK2	Ph-like
ETV6	JAK2	Ph-like
